,company,lot_size,last_price,cost_per_lot
173,PB Global Limited Unlisted Shares,250 Shares, ₹ 59, ₹ 14750
174,PharmEasy Unlisted Shares,1000 Shares, ₹ 12, ₹ 12000
175,Pharmed Limited Unlisted Shares,-,-,-
176,Philips Domestic Appliances India Unlisted Shares,50 Shares, ₹ 675, ₹ 33750
177,Philips India Limited Unlisted Shares,25 Shares, ₹ 975, ₹ 24375
178,PNB Finance & Industries Limited Unlisted Shares,10 Shares, ₹ 7500, ₹ 75000
179,Policybazaar Unlisted Shares,-,-,-
180,Premier Cryogenics Limited Unlisted Shares,100 Shares, ₹ 323, ₹ 32300
181,Proyuga Advanced Technologies Limited Unlisted Shares,-,-,-
182,Quikr India Unlisted Shares,-,-,-
183,Ramaraju Surgical Cotton Mills Limited Unlisted Shares,50 Shares, ₹ 375, ₹ 18750
184,Raymotoss India Unlisted Shares,-,-,-
185,RazorPay Unlisted Shares,-,-,-
186,Reliance Broadcast Network Limited Unlisted Shares,-,-,-
187,Reliance MediaWorks Limited Unlisted Shares,-,-,-
188,Reliance Retail Limited Unlisted Shares,10 Shares, ₹ 3250, ₹ 32500
189,Resin & Plastic Limited Unlisted Shares,100 Shares, ₹ 500, ₹ 50000
190,Ring Plus Aqua Limited Unlisted Shares,100 Shares, ₹ 475, ₹ 47500
191,Roop Telsonic Ultrasonix Limited Unlisted Shares,250 Shares, ₹ 175, ₹ 43750
192,Roots Multiclean Limited Unlisted Share,10 Shares, ₹ 3000, ₹ 30000
193,Rydak Syndicate Limited Unlisted Shares,25 Shares, ₹ 575, ₹ 14375
194,S&S Power Switchgear Limited Unlisted Shares,-,-,-
195,San Engineering and Locomotive Company Limited Unlisted Shares,50 Shares, ₹ 714, ₹ 35700
196,SBI General Insurance Unlisted Shares,250 Shares, ₹ 1150, ₹ 287500
197,SBI Home Finance Limited Unlisted Shares,250 Shares, ₹ 35, ₹ 8750
198,SBI Mutual Fund Unlisted Shares,50 Shares, ₹ 1250, ₹ 62500
199,Schneider Electric President Systems Unlisted Shares,-,-,-
200,Shree Hanuman Sugar & Industries Limited Unlisted Shares,2000 Shares, ₹ 5, ₹ 10000
201,Shriram Life Insurance Co. Ltd Unlisted Shares,50 Shares, ₹ 400, ₹ 20000
202,Sigachi Laboratories Limited Unlisted Shares,1000 Shares, ₹ 52, ₹ 52000
203,Signify Innovations (Previously Phillips Lighting) India Limited Unlisted Shares,50 Shares, ₹ 1650, ₹ 82500
204,Silverline Technologies Limited Unlisted Shares,1000 Shares, ₹ 10, ₹ 10000
205,Simpson and Company Limited Unlisted Shares,1 Shares,-,-
206,Simsim (SZS Tech Private Limited) Unlisted Shares,-,-,-
207,Smaaash Entertainment Unlisted Shares,-,-,-
208,SMC Global Securities Limited Unlisted Shares,-,-,-
209,SMILE Microfinance Unlisted Shares,250 Shares, ₹ 82, ₹ 20500
210,Spencer and Company Limited Unlisted Shares,25 Shares, ₹ 1079, ₹ 26975
211,Sri Kannapiran Mills Limited Unlisted Shares,100 Shares, ₹ 159, ₹ 15900
212,Sri Vishnu Shankar Mill Limited Unlisted Shares,50 Shares, ₹ 525, ₹ 26250
213,Star Union Dai-Ichi Life Insurance Unlisted Shares,-,-,-
214,Sterlite Power Transmission Limited Unlisted Shares,25 Shares, ₹ 550, ₹ 13750
215,Studds Accessories Limited Unlisted Shares,25 Shares, ₹ 930, ₹ 23250
216,Suryoday Small Finance Bank Limited Unlisted Shares,-,-,-
217,Swiggy Unlisted Shares,-,-,-
218,Syngenta India Limited Unlisted Shares,-,-,-
219,T.Stanes and Company Limited Unlisted Shares,-,-,-
220,Tamilnad Mercantile Bank Unlisted Shares,50 Shares, ₹ 575, ₹ 28750
221,Taparia Tools Limited Unlisted Shares,25 Shares,-,-
222,TATA Capital Limited Unlisted Share Price,-,-,-
223,Tata Technologies Limited Unlisted Shares,50 Shares, ₹ 975, ₹ 48750
224,Tea Time Unlisted Shares,-,-,-
225,Teesta Agro Industries Limited Unlisted Shares,-,-,-
226,The Methoni Tea Company Limited Unlisted Shares,-,-,-
227,The Midland Rubber & Produce Co Limited Unlisted Shares,-,-,-
228,The Mysore Paper Mills Unlisted Shares,1000 Shares, ₹ 12, ₹ 12000
229,The Nelliampathy Tea & Produce Company Limited Unlisted Shares,-,-,-
230,The Scottish Assam (India) Limited Unlisted Shares,50 Shares, ₹ 775, ₹ 38750
231,TRL Krosaki Refractories Unlisted Shares,-,-,-
232,Tunwal E-Motors Private Limited Unlisted Shares,-,-,-
233,Twenty First Century (India) Limited Unlisted Shares,-,-,-
234,UTI AMC Unlisted Shares,-,-,-
235,Utkarsh Micro Finance Unlisted Shares,100 Shares, ₹ 210, ₹ 21000
236,Vam Holdings Unlisted Shares,-,-,-
237,Vanaz Engineers Limited Unlisted Shares,-,-,-
238,Vikram Solar Unlisted Shares,-,-,-
239,Waaree Energies Unlisted Shares,-,-,-
240,Xerox India Limited Unlisted Shares,100 Shares,-,-
241,Yokogawa India Limited Unlisted Share,-,-,-
